Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Anul Fact Kilos;Dev Irrecup Kilos;Dev Reparto Kilos
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Septiembre;12561864;7551160;260172;313880;0;442;2070
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Octubre;12927865;4801127;267118;195710;0;529;2953
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Noviembre;13041559;7162994;254636;289969;0;416;1885
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Diciembre;13118409;5462148;249974;220568;0;526;4752
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Enero;13027072;6127995;233134;216799;0;346;2187
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Febrero;11909693;6315835;213781;216653;0;298;1186
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Marzo;14111164;7094205;260417;232580;0;545;2689
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Abril;12055239;8428399;213642;282155;0;528;1128
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Mayo;15763703;8034145;268100;242715;0;576;3340
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Junio;15682882;7603519;243998;230188;0;625;896
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Julio;14750687;7044499;212114;201984;0;484;2610
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Agosto;14537920;6240451;192754;177748;0;465;2552
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Septiembre;16019217;7199149;200087;191577;0;431;425
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Octubre;14554803;4672276;179345;123339;0;352;739
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Noviembre;12375882;8205285;142240;198651;0;421;628
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2018;Diciembre;17250529;6668298;189902;160560;0;215;966
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Enero;14172742;6693046;150643;159714;0;256;3140
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Febrero;16043500;8002489;169280;195073;0;614;404
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Marzo;17920109;7275338;176862;169287;0;356;225
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Abril;17324710;8234432;167174;182603;0;329;1203
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Mayo;20450606;6544233;177720;122676;0;298;872
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Junio;14723369;8894513;122338;157594;0;195;565
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Julio;21900148;10075039;178272;170031;0;363;548
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Agosto;23018335;10831826;179828;168298;0;690;161
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Septiembre;22741988;12713769;170932;183330;0;166;1628
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Octubre;27434593;15172381;198351;218754;0;670;1586
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Noviembre;28299867;12678288;184678;164173;0;151;372
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2019;Diciembre;25331877;10409010;152254;133710;0;252;893
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Enero;32059968;14080519;180314;169805;2100;339;204
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Febrero;25184714;14448059;140011;158383;0;152;473
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2020;Marzo;37472609;17816466;209749;225474;0;146;383
